,LeaseAgreementID,AgreementDate,RentAmount,PropertyID,TenantID
0,3292c437-7e36-4387-a8ea-975ce027a85d,2022-06-21,42126.0,07b21e6a-ee26-42b1-bfa9-25a5a5985921,e11b4aff-4ade-4939-8f1e-b4a51b81a3ef
1,e79f7339-0c24-4044-bada-237f759cbd7f,2022-06-19,67496.0,c4ce5ec4-4ba6-4a92-99d5-1908faa6eb1b,73b1c88d-efa9-4c7b-b67f-04dbb97f8f18
2,75363367-c8a7-4a61-aced-47387715bbc9,2022-06-18,82718.0,47c287ef-a6c4-4369-b356-224e4379b603,f41c49cb-b8c2-48e4-ab32-272f2f928300
3,8d9dc26f-c054-4100-82c1-6bc45c6b733c,2022-06-18,70918.0,54575f69-9c5a-45c7-9b67-9d2522cd9c01,db8de30e-9942-4241-be82-21aee7601956
4,b2535038-c2a0-49dd-af36-2de55fa12668,2022-06-21,52628.0,fa01b8ed-c846-4048-aff1-641def846649,59aa23c1-d83d-410b-a25d-9adb8057dfe5
5,b5db32e4-601f-4580-8404-a94144ba9a64,2022-06-21,84370.0,20df3873-2590-439d-af3a-a8300936f288,e49770d1-4df5-4a96-8fe5-798e7246f322
6,08f94096-c774-470e-8d93-b9b2d0665ccf,2022-06-18,45548.0,719e02bb-bc6d-4a61-bd37-4daa2a33d1d8,b54f0ac3-db96-4ba2-a217-6413d58eb206
7,95302f3e-9499-4cca-be4c-5939805c3c6a,2022-06-18,68322.0,ba24e62f-4053-40c7-81b0-c8cc68d762ef,b83275fe-39f4-48a4-9604-41bc77ef8e7d
8,7f71b14a-2d19-4521-9dbb-5d7ead881b5f,2022-06-18,51448.0,f170e6b1-5eaf-485f-a199-50048bedde49,4e2aeada-16df-464b-8cf6-f6691580da6c
9,16f7a2f2-5b0d-4650-8ce4-cfdd46cee030,2022-06-19,33630.0,d308b5ea-b7c0-4c8d-b94b-45374f07109b,ac4e35ee-7138-4b9a-b47f-a9adf36b3193
10,27c91a45-a70f-42bd-b980-6cfea62930da,2022-06-19,31860.0,1bcd2c35-f4e2-4cbc-b0c2-9e2f68dfc41d,fbfbdaca-dc20-4983-bae6-bcfae2b294b1
11,9e96cb09-e59d-4a1d-99e0-fc680940d558,2022-06-21,45076.0,914a7d31-7699-4956-8b95-dc193d492447,b3b6751f-4a80-469d-8a10-b9f17daffda9
12,e8e7079b-f4be-492d-80c0-6f189d55eb27,2022-06-19,54044.0,cf1f239c-9d0a-4d58-996f-1e1a6ead9b5b,c3772cdc-45f2-4ec9-98dd-cc0e6eddce51
13,e246f119-e60a-48ce-81e9-7952e99506ec,2022-06-19,84842.0,34b9759f-d1b7-45e4-aa0d-f199b2b3d99f,612b0d19-0971-4ba9-9ffc-2e99f690d03b
14,51418c2a-b3a1-4a9b-b8c5-6cf9c2ee2578,2022-06-18,79296.0,1a7ffac0-b445-483b-b811-d011b1375dda,134549d0-a417-487c-8c07-e36219e7f0dd
15,37d52cb7-b9f9-4c77-a780-3fc811fe4ec7,2022-06-18,56522.0,cef784ee-0d1c-4842-9fa3-28bf0fbb8f02,7f77cbff-ff69-475c-9f23-43720e28db5b
16,ae8ac295-0e3e-4499-98b8-f29c7fcad1d7,2022-06-18,38350.0,17e0da61-1c45-4f56-ab61-73472c01bb15,6d262573-58df-40f3-b8d4-41145e67416c
17,69c907c7-bcd8-4926-936b-701cd22a0eb1,2022-06-20,62658.0,59348d6d-0045-400c-9e97-70e69bdf4d4e,c65fa44f-f1de-4ca8-bc69-23e1b680c580
18,8cd308b9-6758-42a3-ab62-f20321697dab,2022-06-18,35636.0,a987ac6f-9b2a-49d1-b6e2-81d675ccd1e6,cb949f9e-dff7-4891-a0a3-bacc07bf140e
19,ccf6b1a1-e38d-469e-8d66-9e68fd346dad,2022-06-20,35164.0,f46c0aa9-748a-49a1-a8d4-643b6b7765fd,1fe43c24-52ca-481f-968a-f11376a72e1c
20,54a3bb28-bc81-46c9-9875-e4298ae89c93,2022-06-18,38114.0,d5089f87-3dbf-43ef-97cc-bd0e91bb3d6d,432b773d-21ec-4de5-aaa7-97308b57f651
21,3b9e9591-1844-4e76-929f-1f6b4f8cec77,2022-06-20,44486.0,6c691bd6-c58f-4bcf-8ed6-bc56957b6c72,5b48683a-0e0a-4d42-814e-f74ba9e8c736
22,956179b0-aa6d-46ea-a57a-d214683f2962,2022-06-21,24662.0,cb96a788-1dbf-4aba-9025-c79790423837,2e804e81-e88e-4fc4-93ce-2f30dd6042ed
23,8fb081bc-4191-4164-809c-4ccfa7069c0d,2022-06-21,23954.0,c4b62f31-03e4-4785-9e89-73bec416cc66,d92c78b9-bb39-41c8-a973-d76484b8f924
24,7e60e07c-9c5a-40ca-a61b-c34b7c08c3c0,2022-06-20,57348.0,51f346fe-e357-4a7e-be32-2b54997bc617,6b4641d5-5b39-4648-9219-e36513879f8a
25,2ae55289-b99d-476f-884f-654236ef372f,2022-06-21,51684.0,61851e76-1ee5-429b-8b15-28cfe59d2f9c,5471fe20-bff4-4b3f-ad49-e94b18d6b97a
26,ed6baacf-1d45-4677-887c-28954ad9c1f9,2022-06-20,74340.0,b54980f5-d988-4e18-93ec-c39b0e304341,6a35c519-1eb2-41be-8942-0544ab21d2f6
27,b5df34fe-2fdf-4114-97a4-fb3059b952f0,2022-06-18,58882.0,2b197524-5587-46c0-bdbe-cd4956c4a9b6,869443d1-d597-46f9-a508-c3f62095b073
28,d46c6bf9-6ec1-4196-802b-013ac1308a81,2022-06-20,59944.0,47898d87-3a6f-43ee-a649-a49fac46f908,cabce9bc-dc01-4054-9e49-55388a0f6684
29,b78175c5-c952-44f8-b1b6-57e7db933569,2022-06-21,78824.0,3b110b71-fea4-4bb6-88e0-8c3ede9ebdf1,92dfd328-d114-4906-ab13-3d39f8aa7931
30,0bc5b4ce-a3d6-4901-82bc-1614f0ac3898,2022-06-21,78588.0,922b455f-ffa1-4963-b048-a27c31ed7531,39a99f4a-aa99-487b-b415-a8504bb7092d
31,b87a3d5c-7fb9-4c2c-a4fa-a9678f171c8e,2022-06-21,83898.0,8ef1852a-e694-4ba4-a453-6f0c2ed87e1d,cdf69b98-f72c-4f95-889a-0a09460fb2ef
32,5de84f99-1e02-43b3-960d-fe885fefe139,2022-06-20,26668.0,0dce43f2-082a-4390-887c-9715de45db41,6bb451b8-8332-48c0-9e18-4084fd8a6fc7
33,2ce605d0-579a-45a0-a90a-2a1daeb60974,2022-06-21,35754.0,fa8b672e-02c5-4672-b7e9-66e8c61de355,8db11e47-0d9e-4fd6-b7a3-45ed671e08d5
34,19c67fb9-b011-4366-963d-65b2617e2585,2022-06-19,30916.0,c051a2c9-1a34-4597-a387-08f99a4cd921,be4ae530-825e-4ced-978c-e6bfe1efd344
35,502945f4-d31f-4636-afb9-0cf3301a70ad,2022-06-21,87674.0,dc0d8857-f65e-4bc3-82f7-6795b71d11e6,0cd438a0-01c3-4e29-bc83-3bf328cceac8
36,2741f6e8-5d4c-4871-b2b9-bc78e080a799,2022-06-18,39530.0,92d5b68a-4ddc-4359-817b-ab76365f23a8,401280b3-c65e-4cab-a28f-218776de9630
37,18219d89-d13b-4295-833b-285343af8f67,2022-06-19,59236.0,2a878c64-60e4-43f0-94cb-2dc78932d98d,ae70526b-863a-40f4-9bbd-10a101fe1a11
38,3761566a-7ad6-4f56-b4a8-bb9f88990ded,2022-06-21,34220.0,58b1fafa-8894-44b5-8c93-894c254e85b7,819848b5-8980-4d56-882f-3e6dd691a22a
39,54007e63-fd5d-416c-914a-d44bcb7d16c8,2022-06-19,33276.0,a5945f8e-c4bb-433b-bc74-84602da19338,fda884f8-c07c-487a-90c0-cb3f645fb06e
40,e5a2f18e-1ed2-4939-a241-dd8715e6b40d,2022-06-21,23600.0,ba6ba7d4-fca8-4662-8099-4a05bae40fb7,9023f3fc-d989-4a4d-9c73-799ef93cc886
41,f71c2a0c-8e80-4859-91a3-4f2ab9f54127,2022-06-21,46964.0,7cf788e5-6584-4b17-8616-101c754314e7,a41f8a44-c5b4-4a0b-801d-d3d0dc924f0c
42,5ed4f588-f54c-4437-b993-1796d17ae080,2022-06-18,77408.0,09857bbc-6e0f-4152-b97e-dd1f7c2b4d06,9d35ba33-0a02-4891-8dee-ff5847b2f4e6
43,c292580c-8d28-4f33-bed4-2794360f6b47,2022-06-20,87674.0,0d0c9783-7dc1-4001-a988-afb778901aa0,4c0e1cc3-2a9f-4a26-9e95-5a23b94f5723
44,fcfbdeb3-9635-4f65-873b-1b029c14a5cd,2022-06-20,82600.0,a28819d8-d545-4d17-8452-79619a0a48aa,8816be29-d95b-4d4e-8038-87d279f7b30f
45,9b4362db-69b8-45c4-a60b-4f576b5a608f,2022-06-20,58410.0,5f9772a9-0284-4d1e-99b2-3e67305b81ab,87a62240-214a-4bd1-a667-4eaa1f629bd0
46,97e1a46e-0c8f-4799-8d07-6265d6f0c554,2022-06-21,41536.0,e09e47cd-e02e-43f1-b048-2bc4133c034e,68e2fb20-fd4c-4989-8036-77817eb974aa
47,657afdb4-60ac-4170-b2c9-eff080de5579,2022-06-21,55814.0,1504ea81-116a-471c-8516-662dbdfda397,4e810ef3-96db-4a43-8584-e36a7ac2a03b
48,3b3e4ced-ee6b-4f38-84e8-c11814c41957,2022-06-18,29500.0,10d24dcf-4f1d-46f5-ac26-36ed436f6b82,15c8a7bd-5398-426c-9b8a-df645f2a8243
49,d425ffd0-0bc7-40d1-9a36-b964f572aa3f,2022-06-20,44840.0,5dd6972f-456b-4842-a3fe-95f437ef0751,c0a91bf4-f1a2-4059-9899-fbd7429bc553
50,793a1217-c8f5-4044-b139-08ffc7701056,2022-06-18,43424.0,f394446f-6adf-4611-b301-1c8fb1f5d5d6,d44f4d0b-f0dc-4270-907a-81facdb369ce
51,5f86a1b3-c9ba-43cb-8352-809d046979ce,2022-06-18,35518.0,3018e52b-037a-4b34-83e0-a28bada8314b,2bb0932b-f239-4c2b-9b68-50e32af0f977
52,acb6115e-a5e2-4c0d-90a0-be3a6e909274,2022-06-20,32214.0,ec1dcf4a-8bf3-4769-b96b-c58833c2b8ba,e28031ef-497b-4cbb-a5e5-42eea682ae3e
